Alter;Lesen_gedr_Bücher_Comics;Lesen_E-Books;Fernsehen;Hörspiele_Hörbücher;Computernutzung_offline;Onlinedienste;Radio_hören;Musik_hören;Kino_gehen;Lesen_gedr_Zeitungen;Lesen_Internet_Zeitungen;Lesen_gedr_Zeitschriften;Lesen_Internet_Zeitschriften;Schauen_aufgez_Sendungen;Nutzen_Handy;Schauen_FotosVideos_Smartphone;Schauen_StreamingDienste;Nutzen_Tablet;Schauen_OnlineVideos;Nutzen_WhatsApp;Nutzen_Facebook;Nutzen_GooglePlus;Nutzen_Twitter;Nutzen_Snapchat;Nutzen_Instagram;Nutzen_YouNow;Nutzen_Periscope;Nutzen_Meercat;Nutzen_Tinder;Nutzen_Tumblr;Nutzen_Pinterest;Nutzen_YouTube;Youtube_Account;Youtube_Musikvideos;Youtube_Fernsehsendungen;Youtube_Tutorials;Youtube_Produkttests;Youtube_LetsPlay;Youtube_LustigeClips;Youtube_Sportvideos;Youtube_ActionCam;Youtube_ModeBeauty;Youtube_Nachrichten;Youtube_Schule;YouTube_Comedy;Youtube_eigVideosEinstellen;Spielen_OnlineSpiele;Spielen_OfflineSpielePC;Spielen_Konsole;Spielen_Handy;Spielen_Tablet;Spielen_Gerät;Schule_Lernen_Minuten;Schule_PCNutzen_Minuten;Medium_Vertrauen;Radiogerät_Vorhanden;Radiogerät_Besitz;RadiogerätInternet_Vorhanden;RadiogerätInternet_Besitz;Fernseher_Vorhanden;Fernseher_Besitz;FernseherInternet_Vorhanden;FernseherInternet_Besitz;DVDPlayer_Vorhanden;DVDPlayer_Besitz;Tablet_Vorhanden;Tablet_Besitz;Laptop_Vorhanden;Laptop_Besitz;Computer_Vorhanden;Computer_Besitz;FesteKonsole_Vorhanden;FesteKonsole_Besitz;tragKonsole_Vorhanden;tragKonsole_Besitz;Smartphone_Vorhanden;Smartphone_Besitz;Handy_Vorhanden;Handy_Besitz;MP3-Player_Vorhanden;MP3-Player_Besitz;StreamingBox_Vorhanden;StreamingBox_Besitz;E-Reader_Vorhanden;E-Reader_Besitz;Geschlecht;Schule;Klasse
12;2;1;6;6;2;7;7;7;3;3;3;3;2;6;7;7;7;2;7;7;2;1;1;7;6;1;1;1;1;1;1;True;True;7.0;5.0;5.0;5.0;7.0;7.0;4.0;7.0;3.0;2.0;3.0;7.0;2;7;4;7;6;4;3;90.0;180.0;2;True;False;True;True;True;False;True;False;True;False;False;False;True;False;True;False;True;True;False;False;True;True;True;False;True;True;True;False;True;False;männlich;3;6
12;5;1;6;7;6;7;7;7;2;5;2;4;1;1;7;6;1;6;7;7;1;1;1;1;6;1;1;1;1;1;1;True;True;6.0;4.0;2.0;1.0;7.0;3.0;4.0;2.0;1.0;1.0;2.0;3.0;1;6;1;6;1;3;5;30.0;120.0;4;True;False;True;True;True;False;True;False;True;False;True;True;True;True;True;False;True;True;True;True;True;True;True;False;False;False;False;False;False;False;männlich;3;6
18;5;5;6;1;6;7;6;7;3;7;1;7;1;4;7;6;6;6;6;7;1;1;1;1;7;1;1;1;1;1;1;True;False;1.0;6.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4.0;1.0;1;1;1;1;6;5;3;100.0;30.0;2;False;False;True;False;True;False;True;False;True;False;True;False;True;True;True;False;True;False;False;False;True;True;False;False;True;False;False;False;True;False;weiblich;3;11
13;6;1;1;1;1;7;7;7;2;1;1;1;1;2;7;2;7;5;7;7;1;1;1;1;1;1;1;1;1;1;1;True;False;6.0;1.0;1.0;1.0;7.0;2.0;1.0;1.0;1.0;1.0;1.0;2.0;1;6;1;1;7;5;3;180.0;0.0;1;True;True;True;False;True;False;False;False;True;False;True;False;True;False;True;False;False;False;False;False;True;True;False;False;True;False;False;False;True;False;männlich;3;7
17;3;1;6;2;1;7;7;7;3;6;4;2;2;3;7;7;7;5;7;7;1;2;2;7;7;1;1;1;1;1;1;True;True;5.0;4.0;3.0;3.0;6.0;7.0;6.0;6.0;2.0;7.0;2.0;6.0;1;6;2;1;6;2;2;15.0;5.0;1;True;True;False;False;True;False;True;False;True;True;True;False;True;False;True;True;True;False;False;False;True;True;True;True;True;True;True;False;True;False;männlich;3;11
17;6;3;6;1;6;7;6;7;2;4;4;3;3;5;7;7;7;2;7;7;1;2;1;7;7;1;1;1;1;1;1;True;True;5.0;4.0;3.0;3.0;6.0;5.0;2.0;3.0;1.0;6.0;5.0;3.0;1;5;6;2;5;2;2;120.0;30.0;4;True;False;False;False;True;True;True;False;True;True;True;False;True;True;True;False;True;False;True;True;True;True;False;False;True;True;False;False;False;False;männlich;3;11
17;4;2;2;5;2;7;7;7;3;7;6;2;4;3;7;7;7;3;7;7;4;2;1;6;7;1;1;1;1;1;1;True;True;5.0;4.0;5.0;3.0;1.0;6.0;3.0;2.0;1.0;6.0;3.0;6.0;2;4;2;1;6;1;3;300.0;4.0;2;True;True;True;False;True;False;False;False;True;False;True;True;True;False;True;True;True;False;True;False;True;True;True;True;True;False;False;False;False;False;männlich;3;11
16;6;1;6;1;1;7;7;6;3;6;2;6;2;5;7;2;4;6;6;3;2;1;3;6;5;1;1;1;1;1;1;True;True;5.0;5.0;4.0;4.0;2.0;7.0;4.0;4.0;5.0;5.0;3.0;3.0;1;1;1;1;5;6;6;130.0;60.0;2;True;True;False;False;True;False;True;False;True;False;True;True;True;True;True;True;True;True;True;True;True;True;False;False;False;False;False;False;False;False;männlich;3;10
13;7;7;6;2;6;7;7;7;3;7;6;6;4;5;7;6;7;2;7;7;1;2;6;6;4;1;1;1;1;1;1;True;False;6.0;5.0;5.0;4.0;7.0;7.0;7.0;4.0;2.0;2.0;5.0;5.0;1;6;5;2;6;2;2;20.0;;5;True;False;False;False;True;True;False;False;True;False;True;False;True;True;True;False;True;True;False;False;True;True;False;False;True;True;False;False;True;True;männlich;3;8
14;6;1;5;1;2;3;2;6;3;3;2;3;2;3;7;7;7;5;6;7;1;2;1;1;1;1;1;1;1;1;1;True;False;2.0;1.0;1.0;1.0;4.0;3.0;6.0;1.0;1.0;1.0;1.0;2.0;1;6;2;6;7;1;5;30.0;20.0;1;True;False;True;False;True;False;True;False;True;False;True;True;True;False;True;False;True;True;False;True;True;True;False;False;False;False;False;False;False;False;männlich;3;8
